,NAME,Batting style,Runs,Balls Faced,Dismissals,Batting Average,Batting Strike Rate
324,Milind Kumar,Right-hand bat,0,0,0,,
325,GH Vihari,Right-hand bat,284,321,20,14.2,88.47352024922118
326,KH Pandya,Left-hand bat,1000,702,41,24.390243902439025,142.45014245014244
327,BN Bharath,Right-hand bat,0,0,0,,
328,Vikas Tokas,Right-hand bat,0,0,0,,
329,Shishir  Bhavane,Left-hand bat,0,0,0,,
330,SN Thakur,Right-hand bat,48,42,6,8.0,114.28571428571429
331,V Shankar,Right-hand bat,654,512,22,29.727272727272727,127.734375
332,Sarul Kanwar,Right-hand bat,0,0,0,,
333,Mehdi Hassan,Left-hand bat,0,0,0,,
334,Sujit Nayak,Left-hand bat,0,0,0,,
335,Baba Aparajith,Right-hand bat,0,0,0,,
336,HS Sharath,Right-hand bat,0,0,0,,
337,Mohammed Shami,Right-hand bat,0,0,0,,
338,Amitoze Singh,Right-hand bat,0,0,0,,
339,DJ Hooda,Right-hand bat,625,483,37,16.89189189189189,129.39958592132504
340,P Chopra,Right-hand bat,8,6,1,8.0,133.33333333333334
341,AD Nath,Right-hand bat,90,98,10,9.0,91.83673469387755
342,Apoorv Wankhade,Right-hand bat,0,0,0,,
343,Sneha Kishore,Right-hand bat,0,0,0,,
344,A Choudhary,Right-hand bat,0,0,0,,
345,Chirag Jani,Right-hand bat,0,0,0,,
346,Aristh Singhvi,Left-hand bat,0,0,0,,
347,J Suchith,Left-hand bat,54,47,2,27.0,114.8936170212766
348,M Ashwin,Right-hand bat,8,12,4,2.0,66.66666666666667
349,Akshay Karnewar,Left-hand bat,0,0,0,,
350,V Pratap Singh,Right-hand bat,0,0,0,,
351,DJ Muthuswami,Right-hand bat,1,3,1,1.0,33.333333333333336
352,Srikar Bharat,Right-hand bat,0,0,0,,
353,P Negi,Left-hand bat,365,289,26,14.038461538461538,126.29757785467127
354,Akhil Herwadkar,Left-hand bat,0,0,0,,
355,M Vohra,Right-hand bat,1012,768,43,23.53488372093023,131.77083333333334
356,MM Sharma,Right-hand bat,122,117,15,8.133333333333333,104.27350427350427
357,Gurkeerat Singh,Right-hand bat,0,0,0,,
358,BB Sran,Left-hand bat,10,14,1,10.0,71.42857142857143
359,Jaskaran Singh,Left-hand bat,0,0,0,,
360,AR Patel,Left-hand bat,913,715,50,18.26,127.6923076923077
361,VH Zol,Left-hand bat,29,26,2,14.5,111.53846153846153
362,NS Naik,Right-hand bat,31,50,4,7.75,62.0
363,Shubham Ranjane,Right-hand bat,0,0,0,,
364,Kuldeep Yadav,Left-hand bat,0,0,0,,
365,Zafir Patel,Right-hand bat,0,0,0,,
366,S Thiyagarajan,Right-hand bat,0,0,0,,
367,PV Tambe,Right-hand bat,18,39,2,9.0,46.15384615384615
