,NAME,Bowling style,Balls Bowled,Wickets Taken,Runs Conceded,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
326,KH Pandya,Slow left-arm orthodox,1245,46,1530,33.26086956521739,27.065217391304348,7.373493975903615
327,BN Bharath,Right-arm medium,0,0,0,,,0.0
328,Vikas Tokas,Right-arm medium,0,0,0,,,0.0
329,Shishir  Bhavane,Right-arm offbreak,0,0,0,,,0.0
330,SN Thakur,Right-arm medium,901,46,1355,29.456521739130434,19.58695652173913,9.02330743618202
331,V Shankar,Right-arm medium,163,6,229,38.166666666666664,27.166666666666668,8.429447852760736
332,Sarul Kanwar,Right-arm offbreak,0,0,0,,,0.0
333,Mehdi Hassan,Slow left-arm orthodox,0,0,0,,,0.0
334,Sujit Nayak,Slow left-arm orthodox,0,0,0,,,0.0
335,Baba Aparajith,Right-arm offbreak,0,0,0,,,0.0
336,HS Sharath,Right-arm medium,0,0,0,,,0.0
337,Mohammed Shami,Right-arm fast-medium,0,0,0,,,0.0
338,Amitoze Singh,Right-arm medium,0,0,0,,,0.0
339,DJ Hooda,Right-arm offbreak,229,7,326,46.57142857142857,32.714285714285715,8.541484716157205
340,P Chopra,Legbreak googly,0,0,0,,,0.0
341,AD Nath,Right-arm medium-fast,0,0,0,,,0.0
342,Apoorv Wankhade,Right-arm medium,0,0,0,,,0.0
343,Sneha Kishore,Slow left-arm orthodox,0,0,0,,,0.0
344,A Choudhary,Left-arm medium,0,0,0,,,0.0
345,Chirag Jani,Right-arm medium,0,0,0,,,0.0
346,Aristh Singhvi,Slow left-arm orthodox,0,0,0,,,0.0
347,J Suchith,Slow left-arm orthodox,270,12,397,33.083333333333336,22.5,8.822222222222223
348,M Ashwin,Legbreak googly,606,25,796,31.84,24.24,7.881188118811881
349,Akshay Karnewar,Slow left-arm orthodox,0,0,0,,,0.0
350,V Pratap Singh,Right-arm medium,0,0,0,,,0.0
351,DJ Muthuswami,Right-arm medium,84,4,108,27.0,21.0,7.714285714285714
352,Srikar Bharat,,0,0,0,,,0.0
353,P Negi,Slow left-arm orthodox,716,34,954,28.058823529411764,21.058823529411764,7.994413407821229
354,Akhil Herwadkar,Right-arm offbreak,0,0,0,,,0.0
355,M Vohra,Right-arm medium,0,0,0,,,0.0
356,MM Sharma,Right-arm medium,1754,92,2488,27.043478260869566,19.065217391304348,8.510832383124287
357,Gurkeerat Singh,Right-arm offbreak,0,0,0,,,0.0
358,BB Sran,Left-arm medium,483,18,767,42.611111111111114,26.833333333333332,9.527950310559007
