,NAME,COUNTRY,Full name,Major teams,Batting style,Bowling style,sname,foreign,Bat,Bowl,Spin/Medium
0,Nathan Bracken,Australia,Nathan Wade Bracken,"['Australia,', 'Gloucestershire,', 'New South Wales,', 'Royal Challengers Bangalore,', 'Worcestershire']",Right-hand bat,Left-arm fast-medium,NW Bracken,1,Right,Left,medium
1,TR Birt,Australia,Travis Rodney Birt,"['Australia,', 'Australia A,', 'Delhi Daredevils,', 'Derbyshire,', 'Hobart Hurricanes,', 'Khulna Royal Bengals,', 'Northern Districts,', 'Tasmania,', 'Wellington']",Left-hand bat,Right-arm medium,TR Birt,1,Left,Right,medium
2,GJ Bailey,Australia,George John Bailey,"['Australia,', 'Scotland,', 'Australia A,', 'Chennai Super Kings,', 'Hampshire,', 'Hobart Hurricanes,', 'Kings XI Punjab,', 'Melbourne Stars,', 'Middlesex,', 'Rising Pune Supergiants,', 'Sussex,', 'Tasmania,', 'Tasmania Under-19s,', 'World-XI']",Right-hand bat,Right-arm medium,GJ Bailey,1,Right,Right,medium
3,AC Blizzard,Australia,Aiden Craig Blizzard,"['Adelaide Strikers,', 'Canterbury,', 'Hobart Hurricanes,', 'Marylebone Cricket Club,', 'Mumbai Indians,', 'Rajshahi Division,', 'South Australia,', 'Sydney Thunder,', 'Tasmania,', 'Victoria']",Left-hand bat,Left-arm medium,AC Blizzard,1,Left,Left,medium
4,DE Bollinger,Australia,Douglas Erwin Bollinger,"['Australia,', 'Australia A,', 'Chennai Super Kings,', 'Hobart Hurricanes,', 'New South Wales,', 'Sydney Sixers,', 'Sydney Thunder,', 'Worcestershire']",Left-hand bat,Left-arm fast-medium,DE Bollinger,1,Left,Left,medium
5,LA Carseldine,Australia,Lee Andrew Carseldine,"['Beenleigh-Logan,', 'Queensland,', 'Rajasthan Royals,', 'Valley District Cricket Club']",Left-hand bat,Left-arm medium,LA Carseldine,1,Left,Left,medium
6,MJ Clarke,Australia,Michael John Clarke,"['Australia,', 'Hampshire,', 'New South Wales,', 'Pune Warriors']",Right-hand bat,Slow left-arm orthodox,MJ Clarke,1,Right,Right,slow
7,Mark Cameron,Australia,Mark Alan Cameron,"['Kolkata Knight Riders,', 'New South Wales']",Right-hand bat,Right-arm fast,MA Cameron,1,Right,Right,fast
8,DT Christian,Australia,Daniel Trevor Christian,"['Australia,', 'Brisbane Heat,', 'Deccan Chargers,', 'Delhi Daredevils,', 'Gloucestershire,', 'Hampshire,', 'Hobart Hurricanes,', 'Melbourne Renegades,', 'Middlesex,', 'Middlesex 2nd XI,', 'Multan Sultans,', 'New South Wales,', 'Rising Pune Supergiant,', 'Royal Challengers Bangalore,', 'South Australia,', 'Trinbago Knight Riders,', 'Victoria']",Right-hand bat,Right-arm fast-medium,DT Christian,1,Right,Right,medium
9,CJ Ferguson,Australia,Callum James Ferguson,"['Australia,', 'Adelaide Strikers,', 'Australia A,', 'Melbourne Renegades,', 'Pune Warriors,', 'South Australia,', 'Sydney Thunder,', 'Worcestershire']",Right-hand bat,Right-arm medium,CJ Ferguson,1,Right,Right,medium
10,AJ Finch,Australia,Aaron James Finch,"['Australia,', 'Auckland,', 'Australia A,', 'Australia Under-19s,', 'Delhi Daredevils,', 'Gujarat Lions,', 'Kings XI Punjab,', 'Melbourne Renegades,', 'Mumbai Indians,', 'Pune Warriors,', 'Rajasthan Royals,', 'Sunrisers Hyderabad,', 'Surrey,', 'Victoria,', 'Victoria Under-15s,', 'Victoria Under-17s,', 'Victoria Under-19s,', 'Yorkshire']",Right-hand bat,Slow left-arm orthodox,AJ Finch,1,Right,Right,slow
11,AC Gilchrist,Australia,Adam Craig Gilchrist,"['Australia,', 'Deccan Chargers,', 'ICC World XI,', 'Kings XI Punjab,', 'Middlesex,', 'New South Wales,', 'Western Australia']",Left-hand bat,Right-arm offbreak,AC Gilchrist,1,Left,Right,off
12,B Geeves,Australia,Brett Geeves,"['Australia,', 'Delhi Daredevils,', 'Tasmania']",Right-hand bat,Right-arm fast-medium,B Geeves,1,Right,Right,medium
13,BJ Haddin,Australia,Bradley James Haddin,"['Australia,', 'Australian Capital Territory,', 'Islamabad United,', 'Kolkata Knight Riders,', 'New South Wales,', 'Sydney Sixers']",Right-hand bat,,BJ Haddin,1,Right,Right,
14,DJ Harris,Australia,Daniel Joseph Harris,"['Adelaide Strikers,', 'Deccan Chargers,', 'Northern Districts,', 'South Australia']",Right-hand bat,Right-arm medium,DJ Harris,1,Right,Right,medium
15,SM Harwood,Australia,Shane Michael Harwood,"['Australia,', 'Barisal Burners,', 'Khulna Royal Bengals,', 'Rajasthan Royals,', 'Victoria']",Right-hand bat,Right-arm fast-medium,SM Harwood,1,Right,Right,medium
16,ML Hayden,Australia,Matthew Lawrence Hayden,"['Australia,', 'Brisbane Heat,', 'Chennai Super Kings,', 'Hampshire,', 'ICC World XI,', 'Northamptonshire,', 'Queensland']",Left-hand bat,Right-arm medium,ML Hayden,1,Left,Right,medium
17,BJ Hodge,Australia,Bradley John Hodge,"['Australia,', 'Adelaide Strikers,', 'Auckland,', 'Barisal Burners,', 'Durham,', 'Guyana Amazon Warriors,', 'Kochi Tuskers Kerala,', 'Kolkata Knight Riders,', 'Lancashire,', 'Leicestershire,', 'Melbourne Renegades,', 'Northern Districts,', 'Peshawar Zalmi,', 'Rajasthan Royals,', 'St Kitts and Nevis Patriots,', 'Victoria,', 'Wellington']",Right-hand bat,Right-arm offbreak,BJ Hodge,1,Right,Right,off
18,GB Hogg,Australia,George Bradley Hogg,"['Australia,', 'Antigua Hawksbills,', 'Cape Cobras,', 'Kolkata Knight Riders,', 'Melbourne Renegades,', 'Perth Scorchers,', 'Rajasthan Royals,', 'Trinbago Knight Riders,', 'Warwickshire,', 'Western Australia']",Left-hand bat,Slow left-arm chinaman,GB Hogg,1,Left,Right,slow
19,JR Hopes,Australia,James Redfern Hopes,"['Australia,', 'Brisbane Heat,', 'Delhi Daredevils,', 'Kings XI Punjab,', 'Pune Warriors,', 'Queensland']",Right-hand bat,Right-arm medium,JR Hopes,1,Right,Right,medium
20,DJ Hussey,Australia,David John Hussey,"['Australia,', 'Antigua Hawksbills,', 'Australia A,', 'Chennai Super Kings,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Melbourne Stars,', 'Northern Districts,', 'Nottinghamshire,', 'Sussex Cricket Board,', 'Victoria']",Right-hand bat,Right-arm offbreak,DJ Hussey,1,Right,Right,off
21,RJ Harris,Australia,Ryan James Harris,"['Australia,', 'Deccan Chargers,', 'Kings XI Punjab,', 'Queensland,', 'South Australia,', 'Surrey,', 'Sussex,', 'Yorkshire']",Right-hand bat,Right-arm fast,RJ Harris,1,Right,Right,fast
22,MEK Hussey,Australia,Michael Edward Killeen Hussey,"['Australia,', 'Chennai Super Kings,', 'Durham,', 'Gloucestershire,', 'Mumbai Indians,', 'Northamptonshire,', 'St Lucia Zouks,', 'Sydney Thunder,', 'Western Australia']",Left-hand bat,Right-arm medium,MEK Hussey,1,Left,Right,medium
23,BW Hilfenhaus,Australia,Benjamin William Hilfenhaus,"['Australia,', 'Australia A,', 'Chennai Super Kings,', 'Hobart Hurricanes,', 'Melbourne Stars,', 'Mumbai Indians,', 'Nottinghamshire,', 'St Kitts and Nevis Patriots,', 'Tasmania']",Right-hand bat,Right-arm fast-medium,BW Hilfenhaus,1,Right,Right,medium
24,MC Henriques,Australia,Moises Constantino Henriques,"['Australia,', 'Australia A,', 'Delhi Daredevils,', 'Glamorgan,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'New South Wales,', 'Royal Challengers Bangalore,', 'Sunrisers Hyderabad,', 'Sydney Sixers']",Right-hand bat,Right-arm fast-medium,MC Henriques,1,Right,Right,medium
25,MG Johnson,Australia,Mitchell Guy Johnson,"['Australia,', 'Australia A,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Perth Scorchers,', 'Queensland,', 'Western Australia']",Left-hand bat,Left-arm fast,MG Johnson,1,Left,Left,fast
26,SM Katich,Australia,Simon Mathew Katich,"['Australia,', 'Derbyshire,', 'Durham,', 'Duronto Rajshahi,', 'Hampshire,', 'Kings XI Punjab,', 'Lancashire,', 'New South Wales,', 'Perth Scorchers,', 'Western Australia,', 'Yorkshire']",Left-hand bat,Slow left-arm chinaman,SM Katich,1,Left,Right,slow
27,M Klinger,Australia,Michael Klinger,"['Australia,', 'Adelaide Strikers,', 'Australia A,', 'Gloucestershire,', 'Gloucestershire 2nd XI,', 'Kochi Tuskers Kerala,', 'Perth Scorchers,', 'South Australia,', 'Victoria,', 'Western Australia,', 'Worcestershire']",Right-hand bat,,M Klinger,1,Right,Right,
28,Justin Langer,Australia,Justin Lee Langer,"['Australia,', 'Middlesex,', 'Rajasthan Royals,', 'Somerset,', 'Western Australia']",Left-hand bat,Right-arm medium,JL Langer,1,Left,Right,medium
29,B Lee,Australia,Brett Lee,"['Australia,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'New South Wales,', 'Otago,', 'Sydney Sixers,', 'Wellington']",Right-hand bat,Right-arm fast,B Lee,1,Right,Right,fast
30,DS Lehmann,Australia,Darren Scott Lehmann,"['Australia,', 'Rajasthan Royals,', 'South Australia,', 'Victoria,', 'Yorkshire']",Left-hand bat,Slow left-arm orthodox,DS Lehmann,1,Left,Right,slow
31,DR Martyn,Australia,Damien Richard Martyn,"['Australia,', 'Ahmedabad Rockets,', 'ICL World XI,', 'Leicestershire,', 'Rajasthan Royals,', 'Western Australia,', 'Yorkshire']",Right-hand bat,Right-arm medium,DR Martyn,1,Right,Right,medium
32,AB McDonald,Australia,Andrew Barry McDonald,"['Australia,', 'Australia A,', 'Delhi Daredevils,', 'Leicestershire,', 'Melbourne Renegades,', 'Royal Challengers Bangalore,', 'Sydney Thunder,', 'Uva Next,', 'Victoria']",Right-hand bat,Right-arm fast-medium,AB McDonald,1,Right,Right,medium
33,GD McGrath,Australia,Glenn Donald McGrath,"['Australia,', 'Delhi Daredevils,', 'ICC World XI,', 'Middlesex,', 'New South Wales,', 'Worcestershire']",Right-hand bat,Right-arm fast-medium,GD McGrath,1,Right,Right,medium
34,SE Marsh,Australia,Shaun Edward Marsh,"['Australia,', 'Glamorgan,', 'Kings XI Punjab,', 'Perth Scorchers,', 'Western Australia']",Left-hand bat,Slow left-arm orthodox,SE Marsh,1,Left,Right,slow
35,CJ McKay,Australia,Clinton James McKay,"['Australia,', 'Australia A,', 'Leicestershire,', 'Melbourne Stars,', 'Mumbai Indians,', 'Sunrisers Hyderabad,', 'Sydney Thunder,', 'Victoria,', 'Victoria Second XI,', 'Yorkshire']",Right-hand bat,Right-arm fast-medium,CJ McKay,1,Right,Right,medium
36,AA Noffke,Australia,Ashley Allan Noffke,"['Australia,', 'Australia A,', 'Australian Centre of Excellence,', 'Australian Cricket Academy,', 'Durham,', 'Gloucestershire,', 'Middlesex,', ""Prime Minister's XI,"", 'Queensland,', 'Queensland Academy of Sport,', 'Queensland Country,', 'Queensland XI,', 'Royal Challengers Bangalore,', 'Sunshine Coast,', 'Western Australia,', 'Worcestershire']",Right-hand bat,Right-arm fast-medium,AA Noffke,1,Right,Right,medium
37,DP Nannes,Australia,Dirk Peter Nannes,"['Australia,', 'Netherlands,', 'Australian Cricketers Association Masters,', 'Canterbury,', 'Chennai Super Kings,', 'Delhi Daredevils,', 'Lions,', 'Melbourne Renegades,', 'Middlesex,', 'Mountaineers,', 'Otago,', 'Royal Challengers Bangalore,', 'Somerset,', 'Somerset 2nd XI,', 'Surrey,', 'Sydney Thunder,', 'Sylhet Royals,', 'Victoria']",Right-hand bat,Left-arm fast,DP Nannes,1,Right,Left,fast
38,Steve O'Keefe,Australia,Stephen Norman John O'Keefe,"['Australia,', 'Australia A,', 'Kochi Tuskers Kerala,', 'New South Wales,', 'Sydney Sixers']",Right-hand bat,Slow left-arm orthodox,SNJ O'Keefe,1,Right,Right,slow
39,RT Ponting,Australia,Ricky Thomas Ponting,"['Australia,', 'Antigua Hawksbills,', 'ICC World XI,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Somerset,', 'Surrey,', 'Tasmania']",Right-hand bat,Right-arm medium,RT Ponting,1,Right,Right,medium
40,TD Paine,Australia,Timothy David Paine,"['Australia,', 'Australia A,', 'Hobart Hurricanes,', 'Pune Warriors,', 'Tasmania,', 'World-XI']",Right-hand bat,Right-arm medium,TD Paine,1,Right,Right,medium
41,NJ Rimmington,Australia,Nathan John Rimmington,"['Kings XI Punjab,', 'Melbourne Renegades,', 'Perth Scorchers,', 'Queensland,', 'Sandgate-Redcliffe,', 'Western Australia']",Right-hand bat,Right-arm fast-medium,NJ Rimmington,1,Right,Right,medium
42,L Ronchi,New Zealand,Luke Ronchi,"['Australia,', 'New Zealand,', 'Australia A,', 'Edmonton Royals,', 'Guyana Amazon Warriors,', 'Hampshire Cricket Board,', 'ICC World XI,', 'Islamabad United,', 'Mumbai Indians,', 'New Zealand A,', 'New Zealand XI,', 'Perth Scorchers,', 'Wellington,', 'Western Australia']",Right-hand bat,,L Ronchi,1,Right,Right,
43,BJ Rohrer,Australia,Ben James Rohrer,"['Australia,', 'Antigua Hawksbills,', 'Delhi Daredevils,', 'Melbourne Renegades,', 'New South Wales,', 'New South Wales Institute of Sport,', 'Sydney Sixers,', 'Sydney Thunder']",Left-hand bat,,BJ Rohrer,1,Left,Right,
44,A Symonds,Australia,Andrew Symonds,"['Australia,', 'Deccan Chargers,', 'Gloucestershire,', 'Kent,', 'Lancashire,', 'Mumbai Indians,', 'Queensland,', 'Surrey']",Right-hand bat,"Right-arm medium, Right-arm offbreak",A Symonds,1,Right,Right,off
45,DJ Thornely,Australia,Dominic John Thornely,"['Hampshire,', 'Mumbai Indians,', 'New South Wales,', 'Surrey,', 'Sydney Sixers']",Right-hand bat,"Right-arm medium, Right-arm offbreak",DJ Thornely,1,Right,Right,off
46,SW Tait,Australia,Shaun William Tait,"['Australia,', 'Adelaide Strikers,', 'Australia A,', 'Chittagong Kings,', 'Durham,', 'Essex,', 'Essex 2nd XI,', 'Glamorgan,', 'Hobart Hurricanes,', 'Melbourne Renegades,', 'Mid West Rhinos,', 'Peshawar Zalmi,', 'Rajasthan Royals,', 'South Australia,', 'Wellington']",Right-hand bat,Right-arm fast,SW Tait,1,Right,Right,fast
47,AC Voges,Australia,Adam Charles Voges,"['Australia,', 'Australia A,', 'Hampshire,', 'Jamaica Tallawahs,', 'Melbourne Stars,', 'Middlesex,', 'Nottinghamshire,', 'Perth Scorchers,', 'Rajasthan Royals,', 'Western Australia']",Right-hand bat,Slow left-arm orthodox,AC Voges,1,Right,Right,slow
48,SK Warne,Australia,Shane Keith Warne,"['Australia,', 'Hampshire,', 'ICC World XI,', 'Melbourne Stars,', 'Rajasthan Royals,', 'Rest of the World XI,', 'Victoria']",Right-hand bat,Legbreak googly,SK Warne,1,Right,Right,leg
49,SR Watson,Australia,Shane Robert Watson,"['Australia,', 'Chennai Super Kings,', 'Hampshire,', 'Islamabad United,', 'New South Wales,', 'Queensland,', 'Quetta Gladiators,', 'Rajasthan Royals,', 'Royal Challengers Bangalore,', 'St Lucia Zouks,', 'Sydney Sixers,', 'Sydney Thunder,', 'Tasmania']",Right-hand bat,Right-arm fast-medium,SR Watson,1,Right,Right,medium
50,CL White,Australia,Cameron Leon White,"['Australia,', 'Australia A,', 'Deccan Chargers,', 'Melbourne Renegades,', 'Melbourne Stars,', 'Northamptonshire,', 'Northamptonshire 2nd XI,', 'Royal Challengers Bangalore,', 'Somerset,', 'Sunrisers Hyderabad,', 'Victoria']",Right-hand bat,Legbreak googly,CL White,1,Right,Right,leg
51,MM Ali,England,Moeen Munir Ali,"['England,', 'Duronto Rajshahi,', 'England Lions,', 'England Performance Programme,', 'England Under-19s,', 'Matabeleland Tuskers,', 'Moors Sports Club,', 'Royal Challengers Bangalore,', 'Warwickshire,', 'Worcestershire']",Left-hand bat,Right-arm offbreak,MM Ali,1,Left,Right,off
52,RS Bopara,England,Ravinder Singh Bopara,"['England,', 'Auckland,', 'Chittagong Kings,', 'Dhaka Dynamites,', 'Dolphins,', 'England Lions,', 'England Under-19s,', 'Essex,', 'Essex Cricket Board,', 'Gloucestershire,', 'Karachi Kings,', 'Kings XI Punjab,', 'Marylebone Cricket Club,', 'Prime Bank Cricket Club,', 'Sunrisers Hyderabad,', 'Sydney Sixers']",Right-hand bat,Right-arm medium,RS Bopara,1,Right,Right,medium
53,Stuart Broad,England,Stuart Christopher John Broad,"['England,', 'Hobart Hurricanes,', 'Kings XI Punjab,', 'Leicestershire,', 'Nottinghamshire']",Left-hand bat,Right-arm fast-medium,SCJ Broad,1,Left,Right,medium
54,PD Collingwood,England,Paul David Collingwood,"['England,', 'Delhi Daredevils,', 'Durham,', 'Impi,', 'Perth Scorchers,', 'Rajasthan Royals,', 'World-XI']",Right-hand bat,Right-arm medium,PD Collingwood,1,Right,Right,medium
55,ND Doshi,England,Nayan Dilip Doshi,"['Bangalore Royal Challengers,', 'Buckinghamshire,', 'Derbyshire,', 'Rajasthan Royals,', 'Saurashtra,', 'Surrey']",Right-hand bat,Slow left-arm orthodox,ND Doshi,1,Right,Right,slow
56,JL Denly,England,Joseph Liam Denly,"['England,', 'Brothers Union,', 'England Lions,', 'England Performance Programme,', 'England Under-19s,', 'Karachi Kings,', 'Kent,', 'Kent 2nd XI,', 'Kolkata Knight Riders,', 'Marylebone Cricket Club,', 'Middlesex,', 'Multan Sultans,', 'Sydney Sixers']",Right-hand bat,Legbreak,JL Denly,1,Right,Right,leg
57,A Flintoff,England,Andrew Flintoff,"['England,', 'Brisbane Heat,', 'Chennai Super Kings,', 'ICC World XI,', 'Lancashire']",Right-hand bat,Right-arm fast-medium,A Flintoff,1,Right,Right,medium
58,MJ Lumb,England,Michael John Lumb,"['England,', 'Deccan Chargers,', 'England Lions,', 'Hampshire,', 'Nottinghamshire,', 'Queensland,', 'Rajasthan Royals,', 'Sydney Sixers,', 'Yorkshire']",Left-hand bat,Right-arm medium,MJ Lumb,1,Left,Right,medium
59,AD Mascarenhas,England,Adrian Dimitri Mascarenhas,"['England,', 'England Lions,', 'Hampshire,', 'Hampshire 2nd XI,', 'Hobart Hurricanes,', 'Kings XI Punjab,', 'Melbourne Stars,', 'Otago,', 'Rajasthan Royals,', 'Rangpur Riders,', 'Wellington']",Right-hand bat,Right-arm fast-medium,AD Mascarenhas,1,Right,Right,medium
60,GR Napier,England,Graham Richard Napier,"['England,', 'Central Districts,', 'England Lions,', 'Essex,', 'Essex 2nd XI,', 'Essex Cricket Board,', 'Mumbai Indians,', 'Wellington']",Right-hand bat,Right-arm medium,GR Napier,1,Right,Right,medium
61,LE Plunkett,England,Liam Edward Plunkett,"['England,', 'Delhi Daredevils,', 'Dolphins,', 'Durham,', 'Durham 2nd XI,', 'Durham Cricket Board,', 'England Lions,', 'England Under-19s,', 'Melbourne Stars,', 'Sylhet Sixers,', 'Yorkshire']",Right-hand bat,Right-arm fast,LE Plunkett,1,Right,Right,fast
62,KP Pietersen,England,Kevin Peter Pietersen,"['England,', 'Deccan Chargers,', 'Delhi Daredevils,', 'Dolphins,', 'Hampshire,', 'ICC World XI,', 'KwaZulu-Natal,', 'Melbourne Stars,', 'Natal,', 'Nottinghamshire,', 'Quetta Gladiators,', 'Rising Pune Supergiants,', 'Royal Challengers Bangalore,', 'St Lucia Zouks,', 'Sunrisers Hyderabad,', 'Surrey']",Right-hand bat,Right-arm offbreak,KP Pietersen,1,Right,Right,off
63,OA Shah,England,Owais Alam Shah,"['England,', 'Cape Cobras,', 'Delhi Daredevils,', 'Dhaka Gladiators,', 'England Lions,', 'Essex,', 'Hampshire,', 'Hobart Hurricanes,', 'Jamaica Tallawahs,', 'Kochi Tuskers Kerala,', 'Kolkata Knight Riders,', 'Middlesex,', 'Rajasthan Royals,', 'Wellington']",Right-hand bat,Right-arm offbreak,OA Shah,1,Right,Right,off
64,LJ Wright,England,Luke James Wright,"['England,', 'Abahani Limited,', 'Dhaka Gladiators,', 'England Lions,', 'England Under-19s,', 'Impi,', 'Leicestershire,', 'Leicestershire Cricket Board,', 'Melbourne Stars,', 'Pune Warriors,', 'Quetta Gladiators,', 'Rajshahi Kings,', 'Sussex,', 'Wellington']",Right-hand bat,Right-arm medium-fast,LJ Wright,1,Right,Right,medium
65,EJG Morgan,England,Eoin Joseph Gerard Morgan,"['England,', 'Ireland,', 'Bangalore Royal Challengers,', 'Barbados Tridents,', 'England A,', 'Ireland A,', 'Ireland Under-19s,', 'Karachi Kings,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Middlesex,', 'Middlesex 2nd XI,', 'Peshawar Zalmi,', ""Sir Paul Getty's XI,"", 'Sunrisers Hyderabad,', 'Sydney Thunder']",Left-hand bat,Right-arm medium,EJG Morgan,1,Left,Right,medium
66,Tanmay Mishra,Kenya,Tanmay Mishra,"['Kenya,', 'Africa XI,', 'Deccan Chargers,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm fast-medium,T Mishra,1,Right,Right,medium
67,Mohammad Nabi,Afghanistan,Mohammad Nabi,"['Afghanistan,', 'Chittagong Vikings,', 'Marylebone Cricket Club,', 'Melbourne Renegades,', 'Pakistan Customs,', 'Quetta Gladiators,', 'St Kitts and Nevis Patriots,', 'Sunrisers Hyderabad,', 'Sylhet Royals']",Right-hand bat,Right-arm offbreak,M Nabi,1,Right,Right,off
68,Abhinav Kumar,India,Abhinav Kumar,"['Deccan Chargers,', 'Hyderabad (India)']",Right-hand bat,,A Kumar,0,Right,Right,
69,AB Agarkar,India,Ajit Bhalchandra Agarkar,"['India,', 'Delhi Daredevils,', 'Kolkata Knight Riders,', 'Middlesex,', 'Mumbai']",Right-hand bat,Right-arm fast,AB Agarkar,0,Right,Right,fast
70,Neravanda Aiyappa,India,Narvanda Chetticha Aiyappa,"['Karnataka,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm medium,NC Aiyappa,0,Right,Right,medium
71,B Akhil,India,Balachandra Akhil,"['Karnataka,', 'Kochi Tuskers Kerala,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm medium-fast,B Akhil,0,Right,Right,medium
72,L Ablish,India,Love Ablish,"['Chandigarh Lions,', 'ICL India XI,', 'Kings XI Punjab,', 'Punjab']",Right-hand bat,Right-arm medium-fast,L Ablish,0,Right,Right,medium
73,Anirudh Singh,India,Anirudh Singh,"['Deccan Chargers,', 'Hyderabad (India),', 'Hyderabad Heroes']",Left-hand bat,Right-arm medium,Anirudh Singh,0,Left,Right,medium
74,J Arunkumar,India,Jagadeesh Arunkumar,"['Belagavi Panthers,', 'Karnataka,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm offbreak,J Arunkumar,0,Right,Right,off
75,Aditya Angle,India,Aditya Ramakant Angle,"['Goa,', 'Rajasthan Royals']",Right-hand bat,Right-arm offbreak,AR Angle,0,Right,Right,off
76,R Ashwin,India,Ravichandran Ashwin,"['India,', 'Chennai Super Kings,', 'Dindigul Dragons,', 'Kings XI Punjab,', 'Rising Pune Supergiants,', 'Tamil Nadu,', 'Worcestershire']",Right-hand bat,Right-arm offbreak,R Ashwin,0,Right,Right,off
77,Ajitesh Argal,India,Ajitesh Kamlesh Argal,"['Kings XI Punjab,', 'Madhya Pradesh Under-14s']",Right-hand bat,Right-arm medium,AK Argal,0,Right,Right,medium
78,AG Murtaza,India,Ali Ghulam Murtaza,"['Central Zone,', 'Delhi Giants,', 'ICL India XI,', 'Mumbai Indians,', 'Pune Warriors,', 'Uttar Pradesh,', 'Uttar Pradesh Under-14s']",Left-hand bat,Slow left-arm orthodox,AG Murtaza,0,Left,Right,slow
79,SA Asnodkar,India,Swapnil Ashok Asnodkar,"['Goa,', 'Goa Under-19s,', 'India Blue,', 'Rajasthan Royals']",Right-hand bat,Right-arm offbreak,SA Asnodkar,0,Right,Right,off
80,Amit Singh,India,Amit Singh,"['Gujarat,', 'Rajasthan Royals']",Right-hand bat,Right-arm medium-fast,A Singh,0,Right,Right,medium
81,Anand Rajan,India,Anand Rajan,"['Deccan Chargers,', 'India Under-19s,', 'Madhya Pradesh,', 'Madhya Pradesh Under-14s,', 'Sunrisers Hyderabad']",Right-hand bat,Right-arm medium,A Rajan,0,Right,Right,medium
82,S Anirudha,India,Srikkanth Anirudha,"['Chennai Super Kings,', 'India Green,', 'India Under-19s,', 'Karaikudi Kaalai,', 'Sunrisers Hyderabad,', 'Tamil Nadu,', 'Tamil Nadu Under-19s']",Right-hand bat,,S Anirudha,0,Right,Right,
83,Hemang Badani,India,Hemang Kamal Badani,"['India,', 'Chennai Super Kings,', 'Chennai Superstars,', 'Tamil Nadu,', 'Vidarbha']",Left-hand bat,Slow left-arm orthodox,HK Badani,0,Left,Right,slow
84,S Badrinath,India,Subramaniam Badrinath,"['India,', 'Chennai Super Kings,', 'India Red,', ""Indian Board President's XI,"", 'Karaikudi Kaalai,', 'Royal Challengers Bangalore,', 'Tamil Nadu']",Right-hand bat,Right-arm offbreak,S Badrinath,0,Right,Right,off
85,L Balaji,India,Lakshmipathy Balaji,"['India,', 'Albert TUTI Patriots,', 'Chennai Super Kings,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Tamil Nadu']",Right-hand bat,Right-arm medium-fast,L Balaji,0,Right,Right,medium
86,R Bhatia,India,Rajat Bhatia,"['Delhi,', 'Delhi Daredevils,', 'Kolkata Knight Riders,', 'Rajasthan Royals,', 'Rising Pune Supergiants,', 'Tamil Nadu,', 'Uttarakhand']",Right-hand bat,Right-arm medium-fast,R Bhatia,0,Right,Right,medium
87,AA Bilakhia,India,Azharuddin Anjum Bilakhia,"['Baroda,', 'Deccan Chargers,', 'Gujarat,', 'Gujarat Under-19s,', 'India Under-19s']",Right-hand bat,Right-arm medium,AA Bilakhia,0,Right,Right,medium
88,Rohan Banerjee,India,Rohan Bijesh Banerjee,"['Bengal Under-14s,', 'India Under-19s,', 'Kolkata Knight Riders']",Left-hand bat,Right-arm medium,RB Banerjee,0,Left,Right,medium
89,RR Bhatkal,India,Raju Ravi Bhatkal,"['Karnataka,', 'Karnataka Under-16s,', 'Malnad Gladiators,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm medium,RR Bhatkal,0,Right,Right,medium
90,STR Binny,India,Stuart Terence Roger Binny,"['India,', 'Hyderabad Heroes,', 'ICL India XI,', 'Karnataka,', 'Mumbai Indians,', 'Rajasthan Royals,', 'Royal Challengers Bangalore,', 'South Zone']",Right-hand bat,Right-arm medium,STR Binny,0,Right,Right,medium
91,SB Bangar,India,Sanjay Bapusaheb Bangar,"['India,', 'Deccan Chargers,', 'Kolkata Knight Riders,', 'Railways']",Right-hand bat,Right-arm medium-fast,SB Bangar,0,Right,Right,medium
92,MS Bisla,India,Manvinder Sultansingh Bisla,"['Deccan Chargers,', 'Haryana,', 'Haryana Under-19s,', 'Himachal Pradesh,', 'India Under-19s,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Royal Challengers Bangalore']",Right-hand bat,,MS Bisla,0,Right,Right,
93,Saurabh Bandekar,India,Saurabh Sushant Bandekar,"['Goa,', 'India Blue,', 'India Under-19s,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm medium-fast,SS Bandekar,0,Right,Right,medium
94,RR Bose,India,Ranadeb Ranjit Bose,"['India,', 'Bengal,', 'India A,', 'India B,', 'India Blue,', 'Kings XI Punjab,', 'Kolkata Knight Riders']",Right-hand bat,Right-arm fast-medium,RR Bose,0,Right,Right,medium
