,NAME,COUNTRY,Full name,Major teams,Batting style,Bowling style,sname,foreign,Bat,Bowl,Spin/Medium
503,GC Viljoen,South Africa,GC Viljoen,"['Derbyshire,', 'Easterns,', 'Kings XI Punjab,', 'Lahore Qalandars,', 'Lions,', 'Multan Sultans,', 'South Africa A,', 'South African Invitation XI,', 'Titans']",Right-hand bat,Right-arm fast,G Viljoen,1,Right,Right,fast
504,Jaskaran Singh,India,Jaskaran Singh Buttar,"['Deccan Chargers,', 'India A,', 'Punjab']",Right-hand bat,Right-arm medium,JS Buttar,0,Right,Right,medium
505,PA Reddy,India,Produturi Akshath Reddy,"['Deccan Chargers,', 'Hyderabad (India),', 'India Under-19s,', 'Sunrisers Hyderabad']",Right-hand bat,Legbreak,PA Reddy,0,Right,Right,leg
506,UT Yadav,India,Umeshkumar Tilak Yadav,"['India,', 'Delhi Daredevils,', 'Kolkata Knight Riders,', 'Royal Challengers Bangalore,', 'Vidarbha']",Right-hand bat,Right-arm fast-medium,UT Yadav,0,Right,Right,medium
507,MG Neser,Australia,Michael Gertges Neser,"['Australia,', 'Adelaide Strikers,', 'Gold Coast,', 'Kings XI Punjab,', 'Queensland,', 'Queensland Academy of Sport']",Right-hand bat,Right-arm medium,MG Neser,1,Right,Right,medium
508,Jagrit Anand,India,Jagrit Anand,Kolkata Knight Riders,Left-hand bat,Right-arm medium,J Anand,0,Left,Right,medium
509,Lokesh Sharma,India,Lokesh Sharma,"['Haryana Under-16s,', 'Kolkata Knight Riders']",Right-hand bat,Right-arm fast-medium,L Sharma,0,Right,Right,medium
510,Jatin Patel,India,Jatin Bharatbhai Patel,Kolkata Knight Riders,Right-hand bat,Slow left-arm orthodox,JB Patel,0,Right,Right,slow
511,Anureet Singh,India,Kathuria Anureet Singh,"['Central Zone,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Railways,', 'Rajasthan Royals']",Right-hand bat,Right-arm medium,KA Singh,0,Right,Right,medium
512,Rahul Yadav,India,Rahul Mahesh Yadav,"['Delhi,', 'Delhi Under-19s,', 'Delhi Under-22s,', 'Kolkata Knight Riders']",Right-hand bat,,RM Yadav,0,Right,Right,
513,Akbar Khan,India,Mohammad Akbar Khan,"['Kolkata Knight Riders,', 'Mumbai']",Left-hand bat,Left-arm fast-medium,MA Khan,0,Left,Left,medium
514,Naveen Dahiya,India,Naveen Dahiya,"['Kolkata Knight Riders,', 'Railways Under-19s']",Right-hand bat,Right-arm fast-medium,N Dahiya,0,Right,Right,medium
515,Saurabh Singh,India,Saurabh Singh,Kolkata Knight Riders,Right-hand bat,,S Singh,0,Right,Right,
516,SS Shaikh,India,Shoaib Shabbir Shaikh,"['Kolkata Knight Riders,', 'Mumbai,', 'Mumbai Under-14s,', 'Mumbai Under-16s,', 'Mumbai Under-17s,', 'Mumbai Under-19s,', 'Mumbai Under-22s']",Right-hand bat,Right-arm medium,SS Shaikh,0,Right,Right,medium
517,Shashank Singh,India,Shashank Singh,"['Delhi Daredevils,', 'Mumbai,', 'Rajasthan Royals']",Right-hand bat,Right-arm offbreak,S Singh,0,Right,Right,off
518,Mohammad Sanuth,India,Mohammad Ebrahim Sanuth,"['Kerala,', 'Kolkata Knight Riders']",Left-hand bat,Right-arm offbreak,ME Sanuth,0,Left,Right,off
519,Parvez Rasool,India,Parvez Ghulam Rasool Zargar,"['India,', 'India A,', 'Jammu & Kashmir,', 'Pune Warriors,', 'Royal Challengers Bangalore,', 'Sunrisers Hyderabad']",Right-hand bat,Right-arm offbreak,PGR Zargar,0,Right,Right,off
520,Q de Kock,South Africa,Quinton de Kock,"['South Africa,', 'Delhi Daredevils,', 'Easterns,', 'Gauteng,', 'Gauteng Under-19s,', 'Lions,', 'Mumbai Indians,', 'Royal Challengers Bangalore,', 'South Africa Under-19s,', 'Sunrisers Hyderabad,', 'Titans']",Left-hand bat,,Qd Kock,1,Left,Right,
521,T Shamsi,South Africa,Tabraiz Shamsi,"['South Africa,', 'Dolphins,', 'Easterns,', 'Gauteng,', 'Gauteng Under-19s,', 'KwaZulu-Natal,', 'KwaZulu-Natal Inland,', 'Lions,', 'Royal Challengers Bangalore,', 'South Africa A,', 'St Kitts and Nevis Patriots,', 'Titans']",Right-hand bat,Slow left-arm chinaman,T Shamsi,1,Right,Right,slow
522,A Zampa,Australia,Adam Zampa,"['Adelaide Strikers,', 'East Torrens,', 'Guyana Amazon Warriors,', 'Jamaica Tallawahs,', 'Melbourne Stars,', 'New South Wales,', 'New South Wales Under-19s,', 'Rising Pune Supergiants,', 'South Australia,', 'Sydney Thunder']",Right-hand bat,Legbreak googly,A Zampa,1,Right,Right,leg
523,BE Hendricks,South Africa,Beuran Eric Hendricks,"['South Africa,', 'Cape Cobras,', 'Impi,', 'Kings XI Punjab,', 'South Africa A,', 'Western Province,', 'Western Province Under-19s']",Left-hand bat,Left-arm fast-medium,BE Hendricks,1,Left,Left,medium
524,BR Dunk,Australia,Ben Robert Dunk,"['Australia,', 'Adelaide Strikers,', 'Antigua Hawksbills,', 'Hobart Hurricanes,', 'Karachi Kings,', 'Melbourne Stars,', 'Mumbai Indians,', 'Northern Suburbs (Brisbane),', 'Queensland,', 'Queensland Academy of Sport,', 'Queensland Under-23s,', 'Sydney Thunder,', 'Tasmania,', 'Tasmania Under-23s']",Left-hand bat,Right-arm offbreak,BR Dunk,1,Left,Right,off
525,A Ashish Reddy,India,Ammana Ashish Reddy,"['Deccan Chargers,', 'Hyderabad (India),', 'Sunrisers Hyderabad']",Right-hand bat,Right-arm medium,AA Reddy,0,Right,Right,medium
526,Rangaraj Suthesh,India, Rangaraj Suthesh,"['Chepauk Super Gillies,', 'Madras,', 'Royal Challengers Bangalore,', 'Tamil Nadu']",Left-hand bat,Left-arm medium,R Suthesh,0,Left,Left,medium
527,MC Juneja,India,Manprit Charanjit Juneja,"['Delhi Daredevils,', 'Gujarat,', 'India A,', 'India Under-23s,', 'Sunrisers Hyderabad']",Right-hand bat,Right-arm offbreak,MC Juneja,0,Right,Right,off
528,HV Patel,India,Harshal Vikram Patel,"['Delhi Daredevils,', 'Gujarat,', 'Haryana,', 'India Under-19s,', 'India Under-23s,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm medium,HV Patel,0,Right,Right,medium
529,JD Unadkat,India,Jaydev Dipakbhai Unadkat,"['India,', 'Delhi Daredevils,', 'India A,', 'India Under-19s,', 'Kolkata Knight Riders,', 'Rajasthan Royals,', 'Rising Pune Supergiant,', 'Royal Challengers Bangalore,', 'Saurashtra,', 'Saurashtra Under-19s']",Right-hand bat,Left-arm medium,JD Unadkat,0,Right,Left,medium
530,R Shukla,India,Rahul Shukla,"['Delhi Daredevils,', 'India A,', 'Mumbai Indians,', 'Rajasthan Royals']",Right-hand bat,Right-arm medium,R Shukla,0,Right,Right,medium
531,Abhisek Banerjee,India,Abhisek Banerjee,"['Bengal,', 'Kolkata Knight Riders']",Right-hand bat,Right-arm offbreak,A Banerjee,0,Right,Right,off
532,Kamran Khan,India,Kamran Khan,"['Colts Cricket Club,', 'Pune Warriors,', 'Rajasthan Royals,', 'Uttar Pradesh']",Left-hand bat,Left-arm medium-fast,K Khan,0,Left,Left,medium
533,Harmeet Singh,India,Harmeet Singh Bansal,"['Deccan Chargers,', 'Kings XI Punjab,', 'Punjab']",Right-hand bat,Right-arm medium,HS Bansal,0,Right,Right,medium
534,JO Holder,West Indies,Jason Omar Holder,"['West Indies,', 'Barbados,', 'Barbados Tridents,', ""BCA President's XI,"", 'Chennai Super Kings,', 'Combined Campuses and Colleges,', 'Kolkata Knight Riders,', 'Sagicor High Performance Centre,', 'Sunrisers Hyderabad,', 'West Indies A,', 'West Indies Under-19s']",Right-hand bat,Right-arm medium-fast,JO Holder,1,Right,Right,medium
535,M de Lange,South Africa,Marchant de Lange,"['South Africa,', 'Barbados Tridents,', 'Easterns,', 'Guyana Amazon Warriors,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Pretoria University,', 'South Africa Academy,', 'Titans']",Right-hand bat,Right-arm fast,Md Lange,1,Right,Right,fast
536,MA Agarwal,India,Mayank Anurag Agarwal,"['India,', 'Delhi Daredevils,', 'India A,', 'India Under-19s,', 'Karnataka,', 'Karnataka Under-19s,', 'Kings XI Punjab,', 'Rising Pune Supergiant,', 'Royal Challengers Bangalore']",Right-hand bat,,MA Agarwal,0,Right,Right,
537,KK Nair,India,Karun Kaladharan Nair,"['India,', 'Delhi Daredevils,', 'India A,', 'India Under-19s,', 'Karnataka,', 'Karnataka State Cricket Association Colts XI,', 'Karnataka State Cricket Association XI,', 'Karnataka Under-15s,', 'Karnataka Under-19s,', 'Kings XI Punjab,', 'Mangalore United,', 'Rajasthan Royals,', 'Royal Challengers Bangalore,', 'South Zone']",Right-hand bat,Right-arm offbreak,KK Nair,0,Right,Right,off
